,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
489,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
492,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
494,Ford,Endeavour,First,65000,Diesel,2018,White,7,10.91,30,29.43
497,Toyota,Fortuner,Second,137000,Diesel,2013,White,7,12.55,14,14.17
502,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
517,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
520,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
521,Jaguar,XJ,Second,20500,Diesel,2017,Maroon,5,12.9,48.25,58.99
524,Honda,Amaze,First,49000,Diesel,2017,Red,5,25.8,5.95,6.03
530,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
546,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
550,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
551,Mercedes-Benz,GLA,Second,32869,Diesel,2018,White,5,12.585,25,27.45
555,Mercedes-Benz,E-Class,Second,66000,Diesel,2014,Brown,5,326,13.45,13.89
561,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
575,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
577,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
581,Hyundai,Santa,Second,54000,Diesel,2015,Black,7,12.585,14.85,13.5
583,Toyota,Innova,First,30700,Diesel,2021,Bronze,7,15.6,27.95,28.47
585,Jeep,Meridian,First,10000,Diesel,2022,Maroon,7,168,32.75,37.09
589,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
602,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
603,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
605,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
606,Ford,Endeavour,First,41000,Diesel,2020,White,7,13.9,33.25,33.17
610,Ford,Endeavour,First,66000,Diesel,2021,White,7,12.4,34.99,36.12
616,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
623,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
631,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
633,Ford,Endeavour,First,78000,Diesel,2016,White,7,10.91,26,22.01
634,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
636,Renault,Duster,First,69000,Diesel,2014,Green,5,19.87,5.75,5.63
643,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
657,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
659,BMW,5,First,8519,Diesel,2020,Blue,5,22.48,55,56.96
660,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
661,Mercedes-Benz,GLE,First,62000,Diesel,2016,White,5,12.585,42,44.01
663,Audi,Q5,First,48392,Diesel,2015,Blue,5,12.8,26.5,24.26
