,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
293,Hyundai,i20,First,13616,Petrol,2014,Others,5,18.15,4.97,4.57
296,Volkswagen,Taigun,First,780,Petrol,2022,Grey,5,178,18,16.41
297,Honda,City,First,22000,Petrol,2018,Brown,5,18.7,7.75,8.87
299,Honda,Brio,Second,33000,Petrol,2014,Red,5,19.4,3.25,3.79
300,Hyundai,Grand,First,23000,Petrol,2017,White,5,19.77,4.4,4.63
302,Honda,Amaze,First,36471,Petrol,2021,White,5,19,9.2,7.99
303,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
304,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
305,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
307,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
308,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
309,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
311,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
314,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
315,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
316,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
317,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
318,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
320,Hyundai,i20,First,13616,Petrol,2014,Others,5,18.15,4.97,4.57
322,Ford,EcoSport,Second,18014,Petrol,2019,Others,5,17,8.53,8.16
323,Renault,Kwid,First,2070,Petrol,2020,Silver,5,23.01,4.65,4.02
324,Ford,Fiesta,First,31575,Petrol,2011,Silver,5,11.7,1.95,2.29
325,Honda,City,First,60381,Petrol,2015,Grey,5,18.7,6.5,6.78
326,Hyundai,Elite,First,59235,Petrol,2015,Blue,5,18.6,4.99,5.35
327,Hyundai,Grand,First,23000,Petrol,2017,White,5,19.77,4.4,4.63
328,Maruti,Suzuki,First,27800,Petrol,2017,Grey,5,23.1,3.9,4.57
330,Toyota,Camry,First,18500,Petrol,2021,Black,5,19.16,41.75,36.79
331,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
332,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
333,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
335,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
336,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
337,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
338,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
339,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
340,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
341,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
345,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
346,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
347,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
348,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
351,Hyundai,i20,First,13616,Petrol,2014,Others,5,18.15,4.97,4.57
358,Audi,A4,First,13575,Petrol,2021,White,5,188,42,43.45
359,Maruti,Suzuki,First,27800,Petrol,2017,Grey,5,23.1,3.9,4.57
360,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
361,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
362,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
364,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
365,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
366,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
367,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
371,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
372,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
373,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
375,Honda,All,First,4642,Petrol,2022,White,5,145,14.25,13.47
376,BMW,7,First,6200,Petrol,2022,Blue,5,335,1.28,1.52
377,Honda,Civic,First,29000,Petrol,2019,Silver,5,16.5,16.9,17.02
379,Hyundai,Elite,First,59235,Petrol,2015,Blue,5,18.6,4.99,5.35
381,Maruti,Suzuki,First,27585,Petrol,2017,Blue,5,23.1,4.95,4.51
382,Maruti,Suzuki,First,32000,Petrol,2018,Grey,5,23.2,6.95,6.68
383,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
384,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
385,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
387,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
388,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
389,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
390,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
391,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
392,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
393,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
395,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
397,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
398,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
399,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
400,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
404,Volkswagen,Ameo,Second,64500,Petrol,2016,Others,5,17.83,4.1,4.87
410,Hyundai,Elite,Second,23025,Petrol,2016,White,5,18.6,5.65,6.06
411,Honda,City,Second,63000,Petrol,2014,White,5,18.7,4.75,5.36
412,Mercedes-Benz,E-Class,Second,31267,Petrol,2017,White,5,12.06,41,37.03
413,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
414,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
416,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
417,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
